Submitted batch job 20043329
[chain] submitted successor (afterany:20041685)
NVIDIA H200
[obs] obs_every_k = 1  (每帧观测,对齐 EnKF 项目)
[data] 6298 windows of (4, 200, 36, 12)  device=cuda
[model] params=2,051,542 (GENN prior 9,420 = 0.46%; the rest is the solver's ConvLSTM)  loss=supervised  n_iter=15  amp=True
[seed] init=3  data=0
[schedule] ep0→5it@lr0.001  ep25→10it@lr0.0007  ep50→15it@lr0.0005  ep75→20it@lr0.0003
[resume] loaded runs/varnet_mse5_s3/varnet_last.pt: continuing from epoch 103 (step 20291)
[best] previous best blind MSE = 0.0283
[schedule] epoch 103: n_iter -> 20, lr -> 0.0003
[epoch 103] loss=0.0284  盲区MSE=0.0291  density=0.0165 vx=0.0693 vy=0.0219 var=0.0087
[epoch 104] loss=0.0288  盲区MSE=0.0287  density=0.0165 vx=0.0675 vy=0.0219 var=0.0087
[epoch 105] loss=0.0268  盲区MSE=0.0286  density=0.0164 vx=0.0672 vy=0.0219 var=0.0087
[epoch 106] loss=0.0292  盲区MSE=0.0285  density=0.0164 vx=0.0669 vy=0.0218 var=0.0087
[epoch 107] loss=0.0270  盲区MSE=0.0295  density=0.0165 vx=0.0708 vy=0.0219 var=0.0087
[epoch 108] loss=0.0292  盲区MSE=0.0286  density=0.0164 vx=0.0674 vy=0.0219 var=0.0087
[epoch 109] loss=0.0266  盲区MSE=0.0287  density=0.0165 vx=0.0678 vy=0.0219 var=0.0087
[epoch 110] loss=0.0266  盲区MSE=0.0286  density=0.0164 vx=0.0672 vy=0.0219 var=0.0087
[epoch 111] loss=0.0261  盲区MSE=0.0286  density=0.0164 vx=0.0672 vy=0.0219 var=0.0087
[epoch 112] loss=0.0273  盲区MSE=0.0285  density=0.0164 vx=0.0670 vy=0.0219 var=0.0087
[epoch 113] loss=0.0261  盲区MSE=0.0299  density=0.0165 vx=0.0725 vy=0.0220 var=0.0087
[epoch 114] loss=0.0297  盲区MSE=0.0289  density=0.0165 vx=0.0684 vy=0.0219 var=0.0088
[epoch 115] loss=0.0270  盲区MSE=0.0288  density=0.0165 vx=0.0680 vy=0.0220 var=0.0088
[epoch 116] loss=0.0278  盲区MSE=0.0287  density=0.0165 vx=0.0677 vy=0.0219 var=0.0088
[epoch 117] loss=0.0298  盲区MSE=0.0286  density=0.0165 vx=0.0674 vy=0.0218 var=0.0087
[epoch 118] loss=0.0286  盲区MSE=0.0290  density=0.0165 vx=0.0688 vy=0.0219 var=0.0088
[epoch 119] loss=0.0307  盲区MSE=0.0286  density=0.0165 vx=0.0675 vy=0.0219 var=0.0087
[epoch 120] loss=0.0266  盲区MSE=0.0286  density=0.0165 vx=0.0674 vy=0.0219 var=0.0087
[epoch 121] loss=0.0272  盲区MSE=0.0285  density=0.0164 vx=0.0670 vy=0.0219 var=0.0087
[epoch 122] loss=0.0299  盲区MSE=0.0288  density=0.0165 vx=0.0682 vy=0.0219 var=0.0087
[epoch 123] loss=0.0285  盲区MSE=0.0289  density=0.0165 vx=0.0685 vy=0.0219 var=0.0088
[epoch 124] loss=0.0269  盲区MSE=0.0287  density=0.0164 vx=0.0677 vy=0.0219 var=0.0087
[2026-09-03T02:42:57.005] error: *** JOB 20041685 ON gpu56 CANCELLED AT 2026-09-03T02:42:57 DUE TO TIME LIMIT ***
