[gaussian, scale=1, rtps=0] 200/38885, 0.130 s/frame
[gaussian, scale=1, rtps=0] 400/38885, 0.129 s/frame
[gaussian, scale=1, rtps=0] 600/38885, 0.130 s/frame
[gaussian, scale=1, rtps=0] 800/38885, 0.130 s/frame
[gaussian, scale=1, rtps=0] 1000/38885, 0.129 s/frame
[gaussian, scale=1, rtps=0] 1200/38885, 0.130 s/frame
[gaussian, scale=1, rtps=0] 1400/38885, 0.131 s/frame
[gaussian, scale=1, rtps=0] 1600/38885, 0.131 s/frame
[gaussian, scale=1, rtps=0] 1800/38885, 0.131 s/frame
[gaussian, scale=1, rtps=0] 2000/38885, 0.131 s/frame
[gaussian, scale=1, rtps=0] 2200/38885, 0.131 s/frame
[gaussian, scale=1, rtps=0] 2400/38885, 0.132 s/frame
[gaussian, scale=1, rtps=0] 2600/38885, 0.132 s/frame
[gaussian, scale=1, rtps=0] 2800/38885, 0.132 s/frame
[gaussian, scale=1, rtps=0] 3000/38885, 0.132 s/frame
[gaussian, scale=1, rtps=0] 3200/38885, 0.132 s/frame
[gaussian, scale=1, rtps=0] 3400/38885, 0.132 s/frame
[gaussian, scale=1, rtps=0] 3600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 3800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 4000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 4200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 4400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 4600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 4800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 5000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 5200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 5400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 5600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 5800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 6000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 6200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 6400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 6600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 6800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 7000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 7200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 7400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 7600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 7800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 8000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 8200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 8400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 8600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 8800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 9000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 9200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 9400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 9600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 9800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 10000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 10200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 10400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 10600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 10800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 11000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 11200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 11400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 11600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 11800/38885, 0.133 s/frame
