[residual, scale=1, rtps=0] 200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 400/42890, 0.071 s/frame
[residual, scale=1, rtps=0] 600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 800/42890, 0.073 s/frame
[residual, scale=1, rtps=0] 1000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 1200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 1400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 1600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 1800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 2000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 2200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 2400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 2600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 2800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 3000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 3200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 3400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 3600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 3800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 4000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 4200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 4400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 4600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 4800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 5000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 5200/42890, 0.071 s/frame
[residual, scale=1, rtps=0] 5400/42890, 0.071 s/frame
[residual, scale=1, rtps=0] 5600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 5800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 6000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 6200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 6400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 6600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 6800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 7000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 7200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 7400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 7600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 7800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 8000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 8200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 8400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 8600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 8800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 9000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 9200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 9400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 9600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 9800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 10000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 10200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 10400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 10600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 10800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 11000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 11200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 11400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 11600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 11800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 12000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 12200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 12400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 12600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 12800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 13000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 13200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 13400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 13600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 13800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 14000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 14200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 14400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 14600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 14800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 15000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 15200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 15400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 15600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 15800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 16000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 16200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 16400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 16600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 16800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 17000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 17200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 17400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 17600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 17800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 18000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 18200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 18400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 18600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 18800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 19000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 19200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 19400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 19600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 19800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 24000/42890, 0.072 s/frame
