[residual, scale=1.5, rtps=0] 200/37964, 0.121 s/frame
[residual, scale=1.5, rtps=0] 400/37964, 0.119 s/frame
[residual, scale=1.5, rtps=0] 600/37964, 0.120 s/frame
[residual, scale=1.5, rtps=0] 800/37964, 0.120 s/frame
[residual, scale=1.5, rtps=0] 1000/37964, 0.119 s/frame
[residual, scale=1.5, rtps=0] 1200/37964, 0.118 s/frame
[residual, scale=1.5, rtps=0] 1400/37964, 0.117 s/frame
[residual, scale=1.5, rtps=0] 1600/37964, 0.116 s/frame
[residual, scale=1.5, rtps=0] 1800/37964, 0.115 s/frame
[residual, scale=1.5, rtps=0] 2000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 2200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 2400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 2600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 2800/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 3000/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 3200/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 3400/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 3600/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 3800/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 4000/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 4200/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 4400/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 4600/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 4800/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 5000/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 5200/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 5400/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 5600/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 5800/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 6000/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 6200/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 6400/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 6600/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 6800/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 7000/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 7200/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 7400/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 7600/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 7800/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 8000/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 8200/37964, 0.109 s/frame
[residual, scale=1.5, rtps=0] 8400/37964, 0.109 s/frame
[residual, scale=1.5, rtps=0] 8600/37964, 0.109 s/frame
[residual, scale=1.5, rtps=0] 8800/37964, 0.109 s/frame
[residual, scale=1.5, rtps=0] 9000/37964, 0.109 s/frame
[residual, scale=1.5, rtps=0] 9200/37964, 0.109 s/frame
[residual, scale=1.5, rtps=0] 9400/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 9600/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 9800/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 10000/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 10200/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 10400/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 10600/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 10800/37964, 0.110 s/frame
[residual, scale=1.5, rtps=0] 11000/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 11200/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 11400/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 11600/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 11800/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 12000/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 12200/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 12400/37964, 0.111 s/frame
[residual, scale=1.5, rtps=0] 12600/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 12800/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 13000/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 13200/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 13400/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 13600/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 13800/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 14000/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 14200/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 14400/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 14600/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 14800/37964, 0.112 s/frame
[residual, scale=1.5, rtps=0] 15000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 15200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 15400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 15600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 15800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 16000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 16200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 16400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 16600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 16800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 17000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 17200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 17400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 17600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 17800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 18000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 18200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 18400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 18600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 18800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 19000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 19200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 19400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 19600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 19800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 20000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 20200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 20400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 20600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 20800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 21000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 21200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 21400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 21600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 21800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 22000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 22200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 22400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 22600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 22800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 23000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 23200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 23400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 23600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 23800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 24000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 24200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 24400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 24600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 24800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 25000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 25200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 25400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 25600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 25800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 26000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 26200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 26400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 26600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 26800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 27000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 27200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 27400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 27600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 27800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 28000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 28200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 28400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 28600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 28800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 29000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 29200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 29400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 29600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 29800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 30000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 30200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 30400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 30600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 30800/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 31000/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 31200/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 31400/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 31600/37964, 0.114 s/frame
[residual, scale=1.5, rtps=0] 31800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 32000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 32200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 32400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 32600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 32800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 33000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 33200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 33400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 33600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 33800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 34000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 34200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 34400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 34600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 34800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 35000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 35200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 35400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 35600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 35800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 36000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 36200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 36400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 36600/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 36800/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37000/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37200/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37400/37964, 0.113 s/frame
[residual, scale=1.5, rtps=0] 37600/37964, 0.113 s/frame
