[residual] 1000/36979, 0.0072 s/frame
[residual] 2000/36979, 0.0070 s/frame
[residual] 3000/36979, 0.0069 s/frame
[residual] 4000/36979, 0.0069 s/frame
[residual] 5000/36979, 0.0069 s/frame
[residual] 6000/36979, 0.0069 s/frame
[residual] 7000/36979, 0.0069 s/frame
[residual] 8000/36979, 0.0068 s/frame
[residual] 9000/36979, 0.0068 s/frame
[residual] 10000/36979, 0.0068 s/frame
[residual] 11000/36979, 0.0068 s/frame
[residual] 12000/36979, 0.0068 s/frame
[residual] 13000/36979, 0.0068 s/frame
[residual] 14000/36979, 0.0068 s/frame
[residual] 15000/36979, 0.0068 s/frame
[residual] 16000/36979, 0.0068 s/frame
[residual] 17000/36979, 0.0068 s/frame
[residual] 18000/36979, 0.0068 s/frame
[residual] 19000/36979, 0.0068 s/frame
[residual] 20000/36979, 0.0068 s/frame
[2026-09-23T18:07:37.726] error: *** JOB 20410738 ON dgx1 CANCELLED AT 2026-09-23T18:07:37 DUE to SIGNAL Terminated ***
