  [k=1] est_atc-20130616.npz

[k=1] 1 days
split                     RMSE     CRPS         NLL    sigma   sp/sk   90%cov
all                     0.1535   0.0372   1.594e+00   0.0498   0.324   93.60%
blind                   0.1803   0.0462  -2.749e-01   0.0568   0.315   92.82%
observed                0.1157   0.0270   3.716e+00   0.0418   0.361   94.48%
defined                 0.2673   0.0909   1.283e+01   0.0732   0.274   83.17%
defined_blind           0.3584   0.1463   8.900e+00   0.1031   0.288   76.72%
defined_observed        0.1821   0.0536   1.548e+01   0.0531   0.291   87.51%
walkable                0.1836   0.0514   3.913e+00   0.0659   0.359   91.77%
walkable_blind          0.2377   0.0770   2.093e+00   0.0891   0.375   89.18%
channel_density         0.1299   0.0303   7.788e-01   0.0298   0.229   91.67%
channel_vx              0.2489   0.0765   1.636e-01   0.0953   0.383   91.75%
channel_vy              0.1044   0.0314  -1.496e+00   0.0587   0.562   95.03%
channel_var             0.0671   0.0106   6.929e+00   0.0153   0.228   95.92%
[out] /scratch/work/zhangx29/Thesis_Project/methods/enkf/check_outputs/eval/uncertainty_lowrank_a_r32_alpha1_0616.json

