  [k=1] est_atc-20130616.npz

[k=1] 1 days
split                     RMSE     CRPS         NLL    sigma   sp/sk   90%cov
all                     0.1530   0.0369   1.575e+00   0.0498   0.325   93.75%
blind                   0.1799   0.0459  -2.351e-01   0.0568   0.316   93.00%
observed                0.1149   0.0267   3.631e+00   0.0418   0.364   94.60%
defined                 0.2656   0.0899   1.279e+01   0.0733   0.276   83.45%
defined_blind           0.3560   0.1447   9.111e+00   0.1030   0.289   77.06%
defined_observed        0.1810   0.0531   1.525e+01   0.0533   0.295   87.74%
walkable                0.1828   0.0510   3.888e+00   0.0659   0.360   91.93%
walkable_blind          0.2370   0.0765   2.167e+00   0.0890   0.375   89.39%
channel_density         0.1276   0.0296   8.545e-01   0.0296   0.232   91.87%
channel_vx              0.2487   0.0763   1.637e-01   0.0958   0.385   91.92%
channel_vy              0.1050   0.0315  -1.488e+00   0.0586   0.558   95.06%
channel_var             0.0667   0.0103   6.771e+00   0.0152   0.228   96.14%
[out] /scratch/work/zhangx29/Thesis_Project/methods/enkf/check_outputs/eval/uncertainty_lowrank_a_r32_f2d1_0616.json

