  [k=1] est_atc-20130616.npz
  [k=1] est_atc-20130623.npz
  [k=1] est_atc-20130630.npz
  [k=1] est_atc-20130707.npz
  [k=1] est_atc-20130714.npz
  [k=1] est_atc-20130721.npz
  [k=1] est_atc-20130728.npz

[k=1] 7 days
split                     RMSE     CRPS         NLL    sigma   sp/sk   90%cov
all                     0.1544   0.0367   1.725e+00   0.0478   0.310   93.69%
blind                   0.1816   0.0457   1.188e-01   0.0543   0.299   92.86%
observed                0.1161   0.0265   3.544e+00   0.0406   0.349   94.62%
defined                 0.2669   0.0899   1.302e+01   0.0720   0.270   83.36%
defined_blind           0.3572   0.1447   1.063e+01   0.1005   0.281   76.73%
defined_observed        0.1824   0.0530   1.462e+01   0.0528   0.289   87.82%
walkable                0.1850   0.0509   4.068e+00   0.0634   0.342   91.81%
walkable_blind          0.2401   0.0767   2.813e+00   0.0852   0.355   89.06%
channel_density         0.1269   0.0287   1.486e+00   0.0282   0.222   91.97%
channel_vx              0.2527   0.0766   6.904e-01   0.0924   0.365   91.89%
channel_vy              0.1047   0.0310  -1.340e+00   0.0557   0.533   94.85%
channel_var             0.0665   0.0103   6.062e+00   0.0150   0.225   96.03%
[out] /scratch/work/zhangx29/Thesis_Project/methods/enkf/check_outputs/eval/uncertainty_lowrank_a_r32_f2d1_valid7.json

