Tesla V100-PCIE-32GB
[select] 5 runs, 75 checkpoints

runs/surrogate_mean_s0  (chosen epoch 5; best.pt by valid loss = epoch 12)
 ep   pooled | walkable clipped  density      vx      vy     var | occupied  density      vx      vy     var
  0   0.3808  |                   0.0753  0.3872  0.1996  0.6203 |           0.1493  0.3385  0.2359  0.2255
  1   0.4100  |                   0.0732  0.3944  0.2012  0.6863 |           0.1451  0.3313  0.2337  0.2287
  2   0.4064  |                   0.0721  0.3820  0.2053  0.6837 |           0.1431  0.3240  0.2315  0.2171
  3   0.4019  |                   0.0712  0.3864  0.2141  0.6677 |           0.1412  0.3253  0.2310  0.2228
  4   0.4431  |                   0.0707  0.3897  0.2167  0.7627 |           0.1402  0.3248  0.2303  0.2366
  5   0.3779 *|                   0.0710  0.3841  0.2142  0.6106 |           0.1408  0.3243  0.2296  0.2183
  6   0.4261  |                   0.0701  0.3844  0.2169  0.7255 |           0.1389  0.3221  0.2300  0.2332
  7   0.4220  |                   0.0700  0.3810  0.2240  0.7156 |           0.1391  0.3248  0.2310  0.2278
  8   0.4123  |                   0.0695  0.3859  0.2218  0.6906 |           0.1382  0.3197  0.2292  0.2254
  9   0.4316  |                   0.0694  0.3783  0.2268  0.7388 |           0.1378  0.3217  0.2290  0.2387
 10   0.3952  |                   0.0693  0.3835  0.2214  0.6511 |           0.1377  0.3215  0.2286  0.2243
 11   0.4091  |                   0.0691  0.3876  0.2209  0.6823 |           0.1373  0.3201  0.2284  0.2212
 12   0.3790  |                   0.0688  0.3870  0.2174  0.6107 |           0.1368  0.3207  0.2292  0.2150
 13   0.4102  |                   0.0687  0.3865  0.2278  0.6835 |           0.1366  0.3202  0.2307  0.2246
 14   0.4234  |                   0.0689  0.3811  0.2187  0.7206 |           0.1370  0.3201  0.2282  0.2272

runs/surrogate_mean_s1  (chosen epoch 0; best.pt by valid loss = epoch 12)
 ep   pooled | walkable clipped  density      vx      vy     var | occupied  density      vx      vy     var
  0   0.3358 *|                   0.0764  0.3853  0.2001  0.5067 |           0.1516  0.3421  0.2391  0.2190
  1   0.3904  |                   0.0742  0.3910  0.1926  0.6434 |           0.1470  0.3317  0.2339  0.2305
  2   0.3496  |                   0.0725  0.3706  0.1886  0.5575 |           0.1444  0.3312  0.2324  0.2206
