  [k=1] est_atc-20130811.npz
  [k=1] est_atc-20130818.npz
  [k=1] est_atc-20130825.npz
  [k=1] est_atc-20130901.npz
  [k=1] est_atc-20130915.npz
  [k=1] est_atc-20130922.npz
  [k=1] est_atc-20130929.npz
  [k=1] second pass, constant sigma = all 0.1637, blind 0.1911, defined 0.2800, defined_blind 0.3743, walkable 0.1958, walkable_blind 0.2522

[k=1] 7 days
split                     RMSE     CRPS         NLL    sigma   sp/sk   90%cov
all                     0.1637   0.0406   2.679e+00   0.0381   0.233   90.27%
blind                   0.1911   0.0501   1.729e+00   0.0402   0.210   88.96%
observed                0.1257   0.0299   3.755e+00   0.0357   0.284   91.75%
defined                 0.2800   0.1014   1.538e+01   0.0567   0.202   75.63%
defined_blind           0.3743   0.1634   1.654e+01   0.0729   0.195   66.23%
defined_observed        0.1921   0.0597   1.459e+01   0.0457   0.238   81.95%
walkable                0.1958   0.0565   5.321e+00   0.0505   0.258   87.46%
walkable_blind          0.2522   0.0842   5.374e+00   0.0628   0.249   83.28%
channel_density         0.1370   0.0340   3.206e+00   0.0231   0.169   86.74%
channel_vx              0.2689   0.0858   2.177e+00   0.0721   0.268   87.76%
channel_vy              0.1066   0.0318  -8.397e-01   0.0446   0.419   92.55%
channel_var             0.0695   0.0109   6.171e+00   0.0125   0.180   94.02%
all_constant_sigma_baseline  0.1637   0.0669  -3.905e-01   0.1637   1.000   95.08%
blind_constant_sigma_baseline  0.1911   0.0807  -2.359e-01   0.1911   1.000   94.27%
defined_constant_sigma_baseline  0.2800   0.1306   1.461e-01   0.2800   1.000   92.01%
defined_blind_constant_sigma_baseline  0.3743   0.1867   4.362e-01   0.3743   1.000   89.95%
walkable_constant_sigma_baseline  0.1958   0.0838  -2.115e-01   0.1958   1.000   94.13%
walkable_blind_constant_sigma_baseline  0.2522   0.1147   4.158e-02   0.2522   1.000   92.47%
[out] /scratch/work/zhangx29/Thesis_Project/methods/enkf/check_outputs/recon_j4nofcst_best/../eval/uncertainty_j4nofcst_test7.json

