  member 0: runs/varnet_aug0_h96_s0/ckpt_00149.pt  epoch=149  n_iter=20
  member 1: runs/varnet_aug0_h96_s1/ckpt_00100.pt  epoch=100  n_iter=20
  member 2: runs/varnet_aug0_h96_s2/ckpt_00100.pt  epoch=100  n_iter=20
  member 3: runs/varnet_aug0_h96_s3/ckpt_00149.pt  epoch=149  n_iter=20
  member 4: runs/varnet_aug0_h96_s4/ckpt_00130.pt  epoch=130  n_iter=20
[members] 5 x runs/varnet_aug0_h96_s{}  dT=200  obs_every_k=1  dev=cuda
  atc-20130811_corridor_1.0s.h5  199 windows
  atc-20130818_corridor_1.0s.h5  194 windows
  atc-20130825_corridor_1.0s.h5  214 windows
  atc-20130901_corridor_1.0s.h5  198 windows
  atc-20130915_corridor_1.0s.h5  196 windows
  atc-20130922_corridor_1.0s.h5  194 windows
  atc-20130929_corridor_1.0s.h5  189 windows

split                             RMSE     CRPS      NLL   sigma  sp/sk  90%cov
all                             0.2035   0.0755   -1.116  0.1787   0.88   95.9%
all_aleatoric_only              0.2035   0.0748   -1.137  0.1696   0.83   95.1%
all_epistemic_only              0.2035   0.0764    9.025  0.0475   0.23   65.4%
all_constant_sigma_baseline     0.2035   0.0931   -0.173  0.2035   1.00   92.6%
blind                           0.2273   0.0718   -1.292  0.1556   0.68   96.3%
observed                        0.1726   0.0797   -0.917  0.2048   1.19   95.6%
defined                         0.2788   0.1093   -0.351  0.2491   0.89   94.4%
defined_constant_sigma_baseline  0.2788   0.1290    0.142  0.2788   1.00   92.3%
defined_blind                   0.4015   0.1577    0.220  0.2617   0.65   89.0%
defined_blind_constant_sigma_baseline  0.4015   0.1972    0.506  0.4015   1.00   90.2%
defined_observed                0.1468   0.0768   -0.736  0.2406   1.64   98.0%
defined_observed_constant_sigma_baseline  0.1468   0.0710   -0.500  0.1468   1.00   92.3%
walkable                        0.2331   0.0922   -0.771  0.2228   0.96   95.9%
walkable_constant_sigma_baseline  0.2331   0.1086   -0.037  0.2331   1.00   92.2%
walkable_blind                  0.2924   0.1047   -0.677  0.2207   0.75   94.8%
walkable_blind_constant_sigma_baseline  0.2924   0.1354    0.189  0.2924   1.00   92.2%
blind_constant_sigma_baseline   0.2273   0.0999   -0.063  0.2273   1.00   93.5%
channel_density                 0.1126   0.0466   -1.318  0.1218   1.08   95.9%
channel_vx                      0.3609   0.1795    0.131  0.4002   1.11   93.7%
channel_vy                      0.1272   0.0567   -0.977  0.1325   1.04   95.1%
channel_var                     0.0804   0.0192   -2.300  0.0601   0.75   99.1%

[out] /scratch/work/zhangx29/Thesis_Project/methods/varnet/check_outputs/eval/uncertainty_aug0.json

EnKF k=1 for reference (measured, check_outputs/enkf_k1_full):  spread/skill 0.011   90% coverage 2.24%
