Submitted batch job 20083886
[chain] submitted successor (afterany:20082979)
NVIDIA H200
[obs] obs_every_k = 1  (每帧观测,对齐 EnKF 项目)
[data] 6298 windows of (4, 200, 36, 12)  device=cuda
[model] params=3,945,942 (GENN prior 9,420 = 0.24%; the rest is the solver's ConvLSTM)  loss=nll  n_iter=15  amp=True
[seed] init=3  data=0
[var] AUGMENTED STATE: log sigma^2 iterated with x over 15 steps; prior term of J is a Gaussian log-likelihood of the prior residual   eps=1e-06
[schedule] ep0→5it@lr0.001  ep25→10it@lr0.0007  ep50→15it@lr0.0005  ep75→20it@lr0.0003
[resume] loaded runs/varnet_aug0_s3/varnet_last.pt: continuing from epoch 103 (step 20291)
[best] previous best blind MSE = 0.0494
[schedule] epoch 103: n_iter -> 20, lr -> 0.0003
[epoch 103] loss=-2.2728  盲区MSE=0.0506  density=0.0191 vx=0.1483 vy=0.0261 var=0.0088
[epoch 104] loss=-2.3062  盲区MSE=0.0502  density=0.0192 vx=0.1468 vy=0.0261 var=0.0088
[epoch 105] loss=-2.3766  盲区MSE=0.0503  density=0.0192 vx=0.1472 vy=0.0262 var=0.0088
[epoch 106] loss=-2.2544  盲区MSE=0.0501  density=0.0192 vx=0.1463 vy=0.0262 var=0.0088
[epoch 107] loss=-2.3260  盲区MSE=0.0502  density=0.0191 vx=0.1469 vy=0.0261 var=0.0088
[epoch 108] loss=-2.3302  盲区MSE=0.0503  density=0.0191 vx=0.1471 vy=0.0260 var=0.0088
[epoch 109] loss=-2.3982  盲区MSE=0.0501  density=0.0192 vx=0.1464 vy=0.0260 var=0.0088
[epoch 110] loss=-2.3521  盲区MSE=0.0502  density=0.0192 vx=0.1467 vy=0.0261 var=0.0088
[epoch 111] loss=-2.3511  盲区MSE=0.0502  density=0.0191 vx=0.1467 vy=0.0260 var=0.0088
[epoch 112] loss=-2.3718  盲区MSE=0.0501  density=0.0191 vx=0.1463 vy=0.0260 var=0.0088
[epoch 113] loss=-2.3655  盲区MSE=0.0501  density=0.0191 vx=0.1465 vy=0.0261 var=0.0088
[epoch 114] loss=-2.3137  盲区MSE=0.0502  density=0.0192 vx=0.1466 vy=0.0261 var=0.0088
[epoch 115] loss=-2.4165  盲区MSE=0.0501  density=0.0191 vx=0.1465 vy=0.0261 var=0.0088
[epoch 116] loss=-2.3306  盲区MSE=0.0503  density=0.0192 vx=0.1468 vy=0.0261 var=0.0088
[epoch 117] loss=-2.3787  盲区MSE=0.0503  density=0.0192 vx=0.1470 vy=0.0262 var=0.0088
[epoch 118] loss=-2.3606  盲区MSE=0.0501  density=0.0191 vx=0.1467 vy=0.0260 var=0.0088
[epoch 119] loss=-2.4097  盲区MSE=0.0504  density=0.0192 vx=0.1474 vy=0.0262 var=0.0088
[epoch 120] loss=-2.3465  盲区MSE=0.0502  density=0.0191 vx=0.1468 vy=0.0261 var=0.0088
[epoch 121] loss=-2.3296  盲区MSE=0.0502  density=0.0192 vx=0.1467 vy=0.0261 var=0.0088
[epoch 122] loss=-2.3062  盲区MSE=0.0503  density=0.0191 vx=0.1470 vy=0.0261 var=0.0088
[epoch 123] loss=-2.2573  盲区MSE=0.0502  density=0.0192 vx=0.1469 vy=0.0261 var=0.0088
[epoch 124] loss=-2.3769  盲区MSE=0.0503  density=0.0191 vx=0.1471 vy=0.0261 var=0.0088
[2026-09-06T00:16:28.005] error: *** JOB 20082979 ON gpu56 CANCELLED AT 2026-09-06T00:16:28 DUE TO TIME LIMIT ***
