method,nominal,empirical
4DVarNet aughead_obs (single),0.1,0.20389811285242354
4DVarNet aughead_obs (single),0.2,0.37738543097052074
4DVarNet aughead_obs (single),0.3,0.5159445736832229
4DVarNet aughead_obs (single),0.4,0.6241090605692486
4DVarNet aughead_obs (single),0.5,0.7084560846694437
4DVarNet aughead_obs (single),0.6,0.7754087949443473
4DVarNet aughead_obs (single),0.7,0.8304239067001858
4DVarNet aughead_obs (single),0.8,0.8777631244466148
4DVarNet aughead_obs (single),0.9,0.9214544326191281
DINCAE,0.1,0.2190204701600922
DINCAE,0.2,0.40373488752687664
DINCAE,0.3,0.5581091842291456
DINCAE,0.4,0.6770192786066083
DINCAE,0.5,0.765415038191111
DINCAE,0.6,0.8303447543242231
DINCAE,0.7,0.8778100348715171
DINCAE,0.8,0.913231329220518
DINCAE,0.9,0.942543717073042
Localized EnKF (100 members),0.1,0.15982793485676972
Localized EnKF (100 members),0.2,0.3039277080226295
Localized EnKF (100 members),0.3,0.4282430596958827
Localized EnKF (100 members),0.4,0.539976318125557
Localized EnKF (100 members),0.5,0.6437189595009534
Localized EnKF (100 members),0.6,0.735845496570518
Localized EnKF (100 members),0.7,0.829562999983359
Localized EnKF (100 members),0.8,0.9053001248649353
Localized EnKF (100 members),0.9,0.9370162057585918
