day,frame,time,density_mean_walkable,density_quantile,selection_quantile,slot_in_day,observed_fraction_walkable,timestamp
atc-20130811,532,1376180794.007,0.010344826616346836,0.020636132315521628,0.02,0,0.4689655172413793,1376180794.007
atc-20130811,4113,1376184375.007,0.023574938997626305,0.09389312977099237,0.09384615384615384,1,0.5482758620689655,1376184375.007
atc-20130811,7373,1376187635.007,0.033279769122600555,0.16745547073791348,0.16769230769230767,2,0.46551724137931033,1376187635.007
atc-20130811,10664,1376190926.007,0.04203801229596138,0.2421882951653944,0.2415384615384615,3,0.6344827586206897,1376190926.007
atc-20130811,13551,1376193813.007,0.05022606626152992,0.3180152671755725,0.3153846153846154,4,0.4068965517241379,1376193813.007
atc-20130811,14775,1376195037.007,0.05688957870006561,0.38814249363867687,0.3892307692307692,5,0.593103448275862,1376195037.007
atc-20130811,19940,1376200202.007,0.06381535530090332,0.4629007633587786,0.46307692307692305,6,0.5758620689655173,1376200202.007
atc-20130811,20863,1376201125.007,0.07074877619743347,0.5369465648854962,0.5369230769230768,7,0.6586206896551724,1376201125.007
atc-20130811,24900,1376205162.007,0.07748965919017792,0.610763358778626,0.6107692307692307,8,0.7655172413793103,1376205162.007
atc-20130811,28427,1376208689.007,0.0846128910779953,0.684529262086514,0.6846153846153846,9,0.5482758620689655,1376208689.007
atc-20130811,30673,1376210935.007,0.09235426783561707,0.7587022900763358,0.7584615384615384,10,0.45517241379310347,1376210935.007
atc-20130811,32778,1376213040.007,0.10081351548433304,0.8318066157760814,0.8323076923076922,11,0.5344827586206896,1376213040.007
atc-20130811,36500,1376216762.007,0.11317682266235352,0.9097964376590331,0.9061538461538461,12,0.4413793103448276,1376216762.007
atc-20130811,36998,1376217260.007,0.0871104747056961,0.7080407124681933,0.98,13,0.41379310344827586,1376217260.007
atc-20130818,1301,1376787698.24,0.006967038847506046,0.021723237597911227,0.02,0,0.5793103448275863,1376787698.24
atc-20130818,3758,1376790155.24,0.021780652925372124,0.09441253263707572,0.09384615384615384,1,0.7896551724137931,1376790155.24
atc-20130818,7319,1376793716.24,0.03796355426311493,0.20187989556135771,0.16769230769230767,2,0.6,1376793716.24
atc-20130818,9008,1376795405.24,0.044713038951158524,0.24266318537859008,0.2415384615384615,3,0.5172413793103449,1376795405.24
