method,channel,rmse,crps,crps_null,crps_skill,spread_skill,coverage90
4DVarNet aughead_obs (single),density,0.19724798588228307,0.0715026771593227,0.0925523091505458,0.22743497363187037,0.6019672871839539,0.9165907396812846
4DVarNet aughead_obs (single),vx,0.5061744350368829,0.23661373603458757,0.2614461194729921,0.09498088358878776,0.8518667378561618,0.9047629718084127
4DVarNet aughead_obs (single),vy,0.18994533075127693,0.08134782062157866,0.09254442570449262,0.12098627224362801,0.7771619587290921,0.9120140036943035
4DVarNet aughead_obs (single),variance,0.14930715742177786,0.03519310423365223,0.0543417388115621,0.3523743442275661,0.5724603353215215,0.9524500152925116
DINCAE,density,0.15437146652697667,0.05364687456585503,0.07158381198070639,0.2505725375408313,0.6358292008459631,0.9525450124893626
DINCAE,vx,0.383009161428178,0.15349454764535933,0.19123519744243342,0.19735200581176993,0.7033323166334341,0.9199447346419286
DINCAE,vy,0.16110880091653576,0.06600603037310829,0.07645333317614898,0.13664940911039214,0.7556451311149085,0.9274194733063902
DINCAE,variance,0.10941221838338397,0.023950706027044397,0.03883519173247926,0.3832731355613841,0.39861424926300243,0.9702656478544864
Localized EnKF (100 members),density,0.15452021843987546,0.063300183476464,0.07671692947404,0.17488637892000158,0.8140280045342793,0.9200164631203724
Localized EnKF (100 members),vx,0.4189358507780788,0.22498453995774206,0.21715745028692385,-0.036043385389156635,1.6348769354144062,0.938218654798377
Localized EnKF (100 members),vy,0.18304859143818764,0.10487711506378782,0.09253760913487283,-0.13334584764266233,1.7818431624292905,0.9428726853937291
Localized EnKF (100 members),variance,0.2951456835945469,0.13728469252939238,0.16433047901714584,0.16458168107044568,0.7796839221457139,0.9469570197218886
